numero_votavel,sigla_uf,nome_partido,nome_votavel,total_votos
2035,SP,PSC,EMANUEL LINS,293
5174,SP,PEN,WILLIAM GHIRALDI,63
2247,SP,PR,GILMARA DOMINGOS,201
7080,SP,PT do B,JORDÃO,846
3102,SP,PHS,JOSE SANTOS,670
2704,SP,PSDC,PROFESSORA SONIA BOSCARIOL,207
1595,SP,PMDB,CLAUDIO CINQUENTÃO,701
2851,SP,PRTB,ZÉ PILLIN,120
5046,SP,PSOL,DR. MARCOS RAUL,453
2720,SP,PSDC,COCADINHA CRUZ CHAPÉU DE COURO,78
1310,GO,PT,PROFESSOR EDWARD MADUREIRA,58865
1321,GO,PT,MAURO RUBEM,34218
1445,GO,PTB,FREI VALDAIR DE JESUS,25535
1514,GO,PMDB,JOSÉ RICO,26086
2345,GO,PPS,MARCOS ABRÃO,92347
4041,GO,PSB,PROF. DUMAS,4731
4444,GO,PRP,JORGE KAJURU,106291
4500,GO,PSDB,DELEGADO WALDIR,274625
4555,GO,PSDB,ALEXANDRE BALDY,107544
4567,GO,PSDB,FALEIROS,44655
9090,GO,PROS,EURIPEDES JUNIOR,72781
96,GO,,NULO,193844
11,GO,PP,PP,8900
25,GO,DEM,DEM,22543
40,GO,PSB,PSB,13691
55,GO,PSD,PSD,22391
65,GO,PC do B,PC DO B,1515
77,GO,SD,SD,2000
2014,GO,PSC,MARCELO DO SACOLÃO,12944
4404,GO,PRP,FONTES,461
12,GO,PDT,PDT,11902
1616,GO,PSTU,PROFESSOR DEYNER,1622
4599,GO,PSDB,CÉLIO SILVEIRA,110992
10,GO,PRB,PRB,5050
23,GO,PPS,PPS,2496
5050,GO,PSOL,FABRICIO LEMOS,939
4514,GO,PSDB,FRANCISCA FRANCISQUINHA,1446
54,GO,PPL,PPL,2155
2754,GO,PSDC,RICHARD,73
27,GO,PSDC,PSDC,802
16,GO,PSTU,PSTU,482
4550,GO,PSDB,GÊNIO EURÍPEDES,4263
2511,GO,DEM,GILBERTO PATRICIO,1185
1456,GO,PTB,EDIEL FERNANDES,527
2810,GO,PRTB,MATHIAS,1989
28,GO,PRTB,PRTB,1325
2030,GO,PSC,ELIAS CORREIA,815
2717,GO,PSDC,NINA,276
2544,GO,DEM,JAIR SERAFIM,102
1118,GO,PP,APOSTOLO PEDRO SUITBERTO,904
1590,GO,PMDB,MAYRE DIAS,381
9045,GO,PROS,GILBERTO FARIAS,384
4400,GO,PRP,KEZIA BORGES,265
4499,GO,PRP,CARLOS NOBREZA,471
1528,GO,PMDB,JOÃO BATISTA QUEIROZ,453
9077,GO,PROS,JOSE,76
2099,GO,PSC,CENICE RIBEIRO,127
5112,AP,PEN,PABLO TEIXEIRA,681
5555,AP,PSD,LUCAS ABRAHAO,7278
6544,AP,PC do B,REITOR TAVARES,2461
6566,AP,PC do B,MILHOMEN,8707
7070,AP,PT do B,DR. OFIRNEY SADALA,10286
7755,AP,SD,BALA ROCHA,7300
25,AP,DEM,DEM,2263
45,AP,PSDB,PSDB,799
1512,AP,PMDB,CABUÇU,18709
1340,AP,PT,MARCOS ROBERTO,6563
1236,AP,PDT,PROFª CONCEIÇÃO MEDEIROS,7443
4545,AP,PSDB,LUIZ CARLOS,9667
2222,AP,PR,VINÍCIUS GURGEL,18661
1112,AP,PP,DIEGO DUARTE,5947
1515,AP,PMDB,FÁTIMA PELAES,17542
7000,AL,PT do B,ROSINHA DA ADEFAL,27116
2812,AL,PRTB,PASTOR BARBOZINHA,12194
2323,AL,PPS,REGIS CAVALCANTE,13986
1555,AL,PMDB,JULIO CERQUEIRA,2190
13,AL,PT,PT,11337
45,AL,PSDB,PSDB,12169
50,AL,PSOL,PSOL,6102
90,AL,PROS,PROS,2424
95,AL,,BRANCO,139167
1212,AL,PDT,RONALDO LESSA,88125
1444,AL,PTB,CORONEL IVON,6366
9090,AL,PROS,GIVALDO CARIMBÃO,82582
15,AL,PMDB,PMDB,10456
17,AL,PSL,PSL,553
1599,AL,PMDB,FERNANDO HOLLANDA,14553
4512,AL,PSDB,FATIMA BRASILEIRO,1093
2311,AL,PPS,ANTONIO NELSON,5836
1551,AL,PMDB,MÁRCIA MARCOLINO,261
31,AL,PHS,PHS,660
10,AL,PRB,PRB,590
1122,AL,PP,JULIO HOULY,8596
36,AL,PTC,PTC,422
1516,AL,PMDB,VÂNIA LÚCIA,119
1500,AL,PMDB,ALEXANDRE MURTA,3783
70,AL,PT do B,PT DO B,491
4040,AL,PSB,MAJOR PAULO NUNES,483
2525,AL,DEM,MARCOS VIEIRA,1519
4589,AL,PSDB,ANDREIA VITAL,63
4333,AL,PV,CARLOS ALBERTO,271
4567,AL,PSDB,PALHACO PIRULITO,3354
5050,AL,PSOL,JUNIOR,997
2505,AL,DEM,DR. EDSON,1901
2838,AL,PRTB,CABO LUIZ ALVES,4568
4377,AL,PV,TIA ROSA,857
4044,AL,PSB,IRIS FAUSTINO,341
1077,AL,PRB,GESIEL AMIGO LEAL,2776
4553,AL,PSDB,JOAO BATISTA,61
4505,AL,PSDB,JESSYCA FERREIRA,54
2845,AL,PRTB,SILVANA SOARES,116
1033,AL,PRB,MARIA DO ROSÁRIO,206
3656,AL,PTC,GOMES,149
5080,AP,PSOL,IZAIAS CARTEIRO,2220
9090,AP,PROS,ALDRIN NUNES,6756
1380,AP,PT,ROCHA DO SUCATÃO,4362
2899,AP,PRTB,TONI BLANC,755
5005,AP,PSOL,WALDIR,238
1201,AP,PDT,GUARABICHABA,263
20,AP,PSC,PSC,426
55,AP,PSD,PSD,465
5412,AP,PPL,ODILON,7564
3636,AP,PTC,AGORD PINTO,1598
14,AP,PTB,PTB,510
55,TO,PSD,PSD,3302
96,TO,,NULO,28826
1010,TO,PRB,CESAR HALUM,46119
1313,TO,PT,FREITAS DO PT,13065
1511,TO,PMDB,DULCE MIRANDA,75934
1515,TO,PMDB,CARLOS GAGUIM,44739
2255,TO,PR,MARCUS MARCELO,25535
4099,TO,PSB,RAFAEL BOFF,6391
4301,TO,PV,FREIRE JR,21466
5510,TO,PSD,IRAJÁ ABREU,62859
13,TO,PT,PT,5213
17,TO,PSL,PSL,628
10,TO,PRB,PRB,949
7777,TO,SD,WALTER JUNIOR,10685
50,TO,PSOL,PSOL,370
51,TO,PEN,PEN,620
25,TO,DEM,DEM,2333
5010,TO,PSOL,IVARDO SANTANA,218
31,TO,PHS,PHS,456
54,TO,PPL,PPL,169
1410,AP,PTB,CAP. SOCORRO,1972
9012,AP,PROS,GEORGE,1312
28,AP,PRTB,PRTB,118
27,AP,PSDC,PSDC,251
1514,AP,PMDB,JACI SIQUEIRA,371
5523,AP,PSD,PROFESSORA VAL,1748
43,AP,PV,PV,200
2277,TO,PR,BETO LIMA,7638
3171,TO,PHS,MARABÁ,7576
33,TO,PMN,PMN,250
5000,TO,PSOL,PROFESSOR ALTAMIRO,289
7775,TO,SD,ROSANGELA BATISTA,325
1900,TO,PTN,MANOEL DA HORTA,455
5050,TO,PSOL,DR. EDSON FELICIANO,73
1222,AP,PDT,EDUARDO DANTAS,296
7788,AP,SD,DALCI,241
2525,AP,DEM,ANDRÉ BALIEIRO,210
16,AP,PSTU,PSTU,328
2011,AP,PSC,DRª. DENISE MORELLI,80
2716,AP,PSDC,FABIANA,16
5115,AP,PEN,SÔNIA LIMA,104
2789,AP,PSDC,MESSIAS,14
7001,PB,PT do B,MÁRCIA,21
1199,PB,PP,NELMA MENDONÇA,42
4405,PB,PRP,TAINA,38
1407,PB,PTB,EVA VILMA,29
1312,CE,PT,EUDES XAVIER,35952
1322,CE,PT,JOSÉ GUIMARÃES,209032
1331,CE,PT,ODORICO,121640
2233,CE,PR,GORETE PEREIRA,130983
2290,CE,PR,CABO SABINO,120485
4050,CE,PSB,ALMIR SOUSA,6540
4321,CE,PV,CELIO STUDART,29763
4511,CE,PSDB,RAIMUNDO MATOS,95145
14,CE,PTB,PTB,4979
90,CE,PROS,PROS,47318
95,CE,,BRANCO,397908
1300,CE,PT,CHICO DO POSTO,6774
1010,CE,PRB,RONALDO MARTINS,117930
1011,CE,PRB,PAULO TEIXEIRA,1478
1313,CE,PT,LUIZIANNE LINS,130717
1513,CE,PMDB,DANILO FORTE,180157
1577,CE,PMDB,DR. JAZIEL,53561
1590,CE,PMDB,VITOR VALIM,92499
4510,CE,PSDB,MAYRA PINHEIRO,25835
7011,CE,PT do B,LEONELZINHO ALENCAR,29217
9000,CE,PROS,BALMAN,87666
1111,CE,PP,CHAGAS MACEDO,8453
5123,CE,PEN,SAMUEL BRAGA,4530
10,CE,PRB,PRB,8956
2525,CE,DEM,MORONI,277774
11,CE,PP,PP,8634
31,CE,PHS,PHS,4874
1777,CE,PSL,MACEDO,107734
9090,CE,PROS,DOMINGOS NETO,185226
9013,CE,PROS,EDSON SILVA,19837
1616,CE,PSTU,GONZAGA,4591
4007,CE,PSB,ELIANE QUEIROZ,618
9011,CE,PROS,ARIOSTO HOLANDA,60669
1515,CE,PMDB,DADINHA ROBERTO,3805
2123,CE,PCB,ROBERTO SANTOS,4327
4011,CE,PSB,DR. PAULO,1962
4090,CE,PSB,PAULO BERNARDO,2390
4501,CE,PSDB,DR. PAULO SERGIO,345
1699,CE,PSTU,NIVÂNIA,736
7070,CE,PT do B,JESUS MIGUEL,1293
3633,CE,PTC,PEDRO MOREIRA,1184
5172,SP,PEN,JUNIOR COSTA,54
3138,SP,PHS,GLORINHA GUILHAMATE,133
2702,SP,PSDC,WAGNER DA FARMÁCIA,351
3631,SP,PTC,WILLIANS ROCHA - ZÉ BONITINHO,135
5084,SP,PSOL,MÁRIO MEDINA,159
2787,SP,PSDC,MEIRE MORAES,84
7777,RN,SD,DELEGADO LUCENA,21787
5511,RN,PSD,PROF. GIOVANI JR,10715
3333,RN,PMN,JÁCOME,71555
1515,RN,PMDB,FAFA ROSADO,33130
1448,RN,PTB,SARGENTO VANTUIL,1747
96,RN,,NULO,187164
95,RN,,BRANCO,165088
16,RN,PSTU,PSTU,1231
45,RN,PSDB,PSDB,9119
1212,RN,PDT,SAVIO,43363
5590,RN,PSD,CABO HERONIDES,4534
1654,RN,PSTU,PAULO MARTINS,1217
4333,RN,PV,PAULO WAGNER,5985
11,RN,PP,PP,3273
31,RN,PHS,PHS,1022
65,RN,PC do B,PC DO B,1710
1122,RN,PP,RICARDO WAGNER,3517
10,RN,PRB,PRB,1811
5033,RN,PSOL,IRMÃO WALMIR,649
5055,RN,PSOL,MARCOS TINÔCO,1774
4444,RN,PRP,DR CARLOS CAMAL,2008
3131,RN,PHS,FABIO BEZERRA,395
2828,RN,PRTB,GORDINHO DO MERCATTO,1191
5012,RN,PSOL,ROZIRENE,234
36,RN,PTC,PTC,309
3111,RN,PHS,EDSON BEZERRA,569
1633,RN,PSTU,BELCHIOR MEDEIROS,1275
1480,RN,PTB,RAMA CUNHA,236
3123,RN,PHS,BETANIA ARAUJO,186
1717,RN,PSL,JOSE CARLOS,1787
1748,RN,PSL,JACQUELINE SOARES,625
1033,RN,PRB,ANTONIO JÚNIOR,526
3611,RN,PTC,MARIA TEREZA,100
3699,RN,PTC,RONALDO,10
4311,PR,PV,ANTONIO BUENO,5305
4330,PR,PV,GOURA,13265
4500,PR,PSDB,FELIPE BRAGA CORTES,23119
4545,PR,PSDB,VALDIR ROSSONI,177324
4588,PR,PSDB,EDU,12511
5055,PR,PSOL,MELISSA CAMPUS,1438
20,PR,PSC,PSC,14675
1313,PR,PT,PROFESSORA MARLEI,29855
1322,PR,PT,ANGELO VANHONI,65705
2010,PR,PSC,PSICÓLOGA CRISTÃ MARISA LOBO,14902
1555,PR,PMDB,ANDRE ZACHAROW,19268
1444,PR,PTB,VANESSA CAMPOS,3802
2012,PR,PSC,PROFESSOR SERGIO OLIVEIRA,58924
4515,PR,PSDB,LUIZ CARLOS HAULY,86439
2533,PR,DEM,PAULO CRISTO,1291
31,PR,PHS,PHS,1492
15,PR,PMDB,PMDB,39831
65,PR,PC do B,PC DO B,11872
4012,PR,PSB,BRUNO DUTRA,4025
5033,PR,PSOL,LUIZ FELIPE BERGMANN,837
5190,PR,PEN,ADEMAR RIBEIRO,1069
50,PR,PSOL,PSOL,13264
1111,PR,PP,NELSON MEURER,106478
1151,PR,PP,RICARDO BARROS,114396
1515,PR,PMDB,JANINE RODRIGUES,5787
11,PR,PP,PP,10568
77,PR,SD,SD,2658
1505,PR,PMDB,RODRIGO ROCHA LOURES,58493
1540,PR,PMDB,HERMES FRANGÃO PARCIANELLO,150213
7788,PR,SD,RATINHO COLOMBO,5806
4301,PR,PV,EDUARDO REINER,3235
4013,PR,PSB,REGIANE,103
1333,PR,PT,IGLE MARIA,4910
2323,PR,PPS,SANDRO ALEX,116909
4025,PR,PSB,VALDIR MECÂNICO,1589
4029,PR,PSB,ZEZINHO DA RAÇÃO,9546
1590,PR,PMDB,ZECA MELO,2440
4312,PR,PV,EDNEIA MARIA,842
33,PR,PMN,PMN,3025
2709,PR,PSDC,ANGELINA,485
1011,PR,PRB,MARLI,747
5151,PR,PEN,FRANTIESCO SANCHES,1021
3323,PR,PMN,ROGÉRIO CADEIRINHA,256
4077,PR,PSB,ALFREDO PARODI,426
1370,PR,PT,ANTONIO ROSNEY CARNEIRO,1057
4433,PR,PRP,TELMA BAGGIO,305
1456,PR,PTB,OSVALDO BUSKEI,707
5152,PR,PEN,JOTA JÚNIOR,1344
2072,PR,PSC,EUNICE SALLES,459
4056,PR,PSB,CERANTO,1841
4316,PR,PV,OBAMA DE COLOMBO,600
4510,PR,PSDB,PAULO ROSENMANN,4590
5505,PR,PSD,EDONY KLUBER,10215
2831,PR,PRTB,ANDREIA ADVOGADA,162
4005,PR,PSB,AGNALDO JULIO,10891
4321,PR,PV,JOÃO BARBIERO,19555
1530,PR,PMDB,DR. JORGE KRUGER,1667
5566,PR,PSD,FERNANDO VICENTINE,4201
3111,PR,PHS,JULIO AGNER,5941
5133,PR,PEN,JOSÉ MARIA,1248
1318,PR,PT,CRISTINA FELIX,941
2727,PR,PSDC,LUIZ ADÃO,14870
1999,PR,PTN,GAUCHO TROVADOR,664
1977,PR,PTN,FONTANA,504
2008,PR,PSC,PROFESSOR PAULO VIEIRA,2083
4380,PR,PV,EUGENIO COVALCHUK,1438
2088,PR,PSC,ROZANGELA VIDAL,782
4088,PR,PSB,BOSCO,2744
2121,PR,PCB,PROFª SILVANA,2030
5111,PR,PEN,MARISTELA,176
5000,PR,PSOL,VINICIUS PRADO,946
4398,PR,PV,ROSE RIBEIRO,91
3112,PR,PHS,CASCÃO,535
4303,PR,PV,MANOEL MENDES JUNIOR,314
2747,PR,PSDC,JANE DE PAULA,769
5005,PR,PSOL,MARCELO DA FROTA,959
2723,PR,PSDC,PALHARES,894
4422,PR,PRP,JORGE MARTINS,1862
3622,PR,PTC,MAURO CABELEIREIRO,217
2788,PR,PSDC,SURECK,606
3608,PR,PTC,DEBORA PONTAL,169
1418,PR,PTB,ROSANGELA AVIVALISTA,192
4003,PR,PSB,TONINHO FERREIRA,4192
5455,PR,PPL,MARIO BACELLAR,57
5188,PR,PEN,PASTORA ZELIA,320
1260,PR,PDT,PRI BAILARINA,313
3606,PR,PTC,AURELIO COELHO,373
5123,PR,PEN,PEDRO MARCELINO,766
4022,PR,PSB,RUTH DE SOUZA,221
5153,PR,PEN,BARATINHA,604
4320,PR,PV,GIL TESSARO WIIKON,747
2793,PR,PSDC,ISAAK ALMEIDA,1347
5088,PR,PSOL,NIVIA PIVA,456
3688,PR,PTC,GILMAR PIRES,19
10,SC,PRB,PRB,4326
5510,SC,PSD,CESAR SOUZA,110777
6565,SC,PC do B,ANGELA,87954
40,SC,PSB,PSB,28207
45,SC,PSDB,PSDB,41888
5005,SC,PSOL,PROFESSOR BORRET,6155
3355,SC,PMN,PROFESSOR CHAVES,885
1510,SC,PMDB,PENINHA,137784
1330,SC,PT,JOÃO JOSÉ,10192
1301,SC,PT,MARLI LEANDRO,16035
1105,SC,PP,JORGE BOEIRA,123770
1055,SC,PRB,BARBARA KIRSTEN,2583
96,SC,,NULO,260351
95,SC,,BRANCO,399563
55,SC,PSD,PSD,25182
1515,SC,PMDB,EDINHO BEZ,102633
25,SC,DEM,DEM,3590
12,SC,PDT,PDT,8303
4040,SC,PSB,FABRICIO OLIVEIRA,51494
4045,SC,PSB,ZONTA,50790
1505,SC,PMDB,DÃO KOEDDERMANN,15730
11,SC,PP,PP,12043
1333,SC,PT,LUCI,35455
43,SC,PV,PV,4120
4500,SC,PSDB,ROSANA (URSA),1657
20,SC,PSC,PSC,3968
1310,SC,PT,MARIA TEREZA CAPRA,5931
1234,SC,PDT,BETO COAN,13561
4555,SC,PSDB,SERGIO BOEBEL,4900
1567,SC,PMDB,ANALTO ROMALINO DA CUNHA,2042
1322,SC,PT,VALBERTO WIGGERS MICHELS,3893
4520,SC,PSDB,LUCAS PRESIDENTE THC,13191
1300,SC,PT,JOSÉ PAULO SERAFIM,22675
31,SC,PHS,PHS,486
4522,SC,PSDB,SAULO SPEROTTO,15084
90,SC,PROS,PROS,775
4466,SC,PRP,GRAVUNI,329
5571,SC,PSD,ZÉ,2474
1001,SC,PRB,GUSTAVO MACHADO,2705
1356,SC,PT,LAURA,468
4400,SC,PRP,JOSÉ BADO,300
1102,SC,PP,FERNANDO ROBERTO GOMES,980
1190,SC,PP,CORONEL REINALDO BOLDORI,3809
5010,SC,PSOL,IVAN ROCHA,1996
7013,SC,PT do B,CORONEL NELSON,782
5412,SC,PPL,HILÁRIO SCHERNER,605
4018,SC,PSB,ALEXEY PORCÃO,9401
4410,SC,PRP,ANACLETO OLEGARIO,1625
4015,SC,PSB,JORGE GONÇALVES  / JORGINHO,1349
5030,SC,PSOL,LARI,401
4513,SC,PSDB,AUGUSTO SANTOS,695
4412,SC,PRP,JOÃO EVANGELISTA,192
4022,SC,PSB,ROSA MARIA/ROSE,791
4450,SC,PRP,ENGº SEBASTIÃO RIBEIRO,194
4411,SC,PRP,RICARDO AOKI,457
4392,PR,PV,BRUNA SPAGNOL,200
3605,PR,PTC,ARLETE SANTOS,86
4335,PR,PV,JOSIANE JO,177
4355,PR,PV,EMERSON FELIX,260
5145,PR,PEN,RUTE BRAVO,133
2721,PR,PSDC,MARCIA MANESCO,84
2810,PR,PRTB,JANE FREIRE,14
20,AC,PSC,PSC,195
1111,AC,PP,LEILANE RIBEIRO,2866
1123,AC,PP,DR. RIBAMAR,2354
1313,AC,PT,SIBÁ MACHADO,18395
12,AC,PDT,PDT,1629
5533,AC,PSD,MARFISA,17300
2727,AC,PSDC,AFONSO,3343
2555,AC,DEM,SABÁ MANCHINERY,1135
2222,AC,PR,ILDERLEI CORDEIRO,13431
1400,AC,PTB,REGINA LINO,3842
1112,AC,PP,RONIVON SANTIAGO,186
43,AC,PV,PV,279
4343,AC,PV,PROFª SHIRLEY TORRES,1377
4321,AC,PV,LYRA XAPURI,665
17,AC,PSL,PSL,113
23,AC,PPS,PPS,238
54,AC,PPL,PPL,202
55,AC,PSD,PSD,583
14,AC,PTB,PTB,415
5555,AC,PSD,ZE AUGUSTO,205
70,AC,PT do B,PT DO B,56
1399,AC,PT,RAIZZA CARDOSO,5
5431,AC,PPL,MARIO PEIXEIRO,237
1390,SE,PT,IRAN BARBOSA,36966
1616,SE,PSTU,VERA LÚCIA,15193
2000,SE,PSC,ANDRE MOURA,71523
4500,SE,PSDB,ERICO MENEZES,3083
1010,SE,PRB,PASTOR JONY,53455
15,SE,PMDB,PMDB,9662
1414,SE,PTB,ADELSON BARRETO,131236
55,SE,PSD,PSD,2561
16,SE,PSTU,PSTU,733
3311,SE,PMN,PROFESSOR LAPADA,278
1122,SE,PP,ARACÍ NASCIMENTO,846
3356,SE,PMN,ESTEVISON,947
77,SE,SD,SD,999
22,SE,PR,PR,2034
2311,SE,PPS,SAMARONE,1710
5412,SE,PPL,MARCOS LUIZ,339
5000,SE,PSOL,APARECIDA DA SAÚDE,695
1211,SE,PDT,NEGUINHA,126
90,SE,PROS,PROS,763
5060,SE,PSOL,PEREIRA,1363
5051,SE,PSOL,LAURÊNCIO DO PSOL,1151
1011,SE,PRB,JOANA DARC,85
5090,SE,PSOL,FLAVIANO,431
1717,SE,PSL,KELLY DE ZÉ DE DONA,112
2868,SE,PRTB,SANDRA GLACY,190
3355,SE,PMN,MICHELLE,27
5456,SE,PPL,JOSEFINA,22
6599,SE,PC do B,VANESSA GOMES,13
3377,SE,PMN,KEYLLA,15
4010,CE,PSB,HERLITO,2526
4040,CE,PSB,JADSON SARTO,4771
2244,CE,PR,AGENTE MARCIO BATISTA,2147
5000,CE,PSOL,ADELITA MONTEIRO,4647
4512,CE,PSDB,BONAPARTE,445
3617,CE,PTC,ALEX LINHARES,1310
1599,CE,PMDB,ZÉ GERARDO,1117
1600,CE,PSTU,MAGELA,1634
25,CE,DEM,DEM,4198
1978,CE,PTN,RIBAMAR DO HOSPITAL,8601
3650,CE,PTC,ASSIS SILVA,822
4300,CE,PV,PROFESSORA LEIDE,1513
2019,CE,PSC,AURELIO MORAIS,485
2828,CE,PRTB,FERREIRINHA DE AQUIRAZ,453
1090,CE,PRB,NINA CARVALHO,979
2590,CE,DEM,BENJAMIM,739
3311,CE,PMN,CICERA,247
2711,CE,PSDC,BIDONGA,268
2727,CE,PSDC,CAPITAO ABRAAO,1527
4060,CE,PSB,GRACIA LAFAYETE,758
5033,CE,PSOL,PROFESSOR EDILSON,1200
3660,CE,PTC,BATISTA  DO  APITO,515
2345,CE,PPS,MAJOR EVANDRO,1956
2080,CE,PSC,SANDRO SILVA,718
1522,CE,PMDB,MAURO MACEDO,389
2014,CE,PSC,MARCELO THELA,2250
1630,CE,PSTU,HENRIQUE,118
2888,CE,PRTB,FÁBIO DA TOPIC,470
4574,CE,PSDB,DARLAN ABRANTES,295
3390,CE,PMN,VALDECI BARROS,389
3171,CE,PHS,MACACO TIAO MAGALHAES,30
1969,CE,PTN,JORNALISTA GILVAN LUIZ,382
4399,CE,PV,TIA DIDI,33
3345,CE,PMN,NILDA DA RECICLAGEM,39
1944,CE,PTN,ELISANGELA PICANÇO,15
2815,CE,PRTB,GLEIDE MARQUES,119
65,RR,PC do B,PC DO B,223
1013,RR,PRB,QUEQUEL DOS PRAZERES,6064
1107,RR,PP,SARGENTO LUIZ PAULO,792
1111,RR,PP,EDUARDO CAMPOS,16942
1213,RR,PDT,EVANDRO FIGUEIRA,523
1234,RR,PDT,ABEL GALINHA,8834
2220,RR,PR,HERMES,3903
2233,RR,PR,REMIDIO DA AMATUR,15492
2727,RR,PSDC,EDUARDO FIGUEIREDO,667
2888,RR,PRTB,JOHNSON JOHNSON,299
3313,RR,PMN,ALAN SOUSA ANDRADE,2676
4545,RR,PSDB,SHÉRIDAN,35555
5151,RR,PEN,DR. FRANCISCO ARAUJO,6513
6533,RR,PC do B,LAURENES,961
44,RR,PRP,PRP,384
23,RR,PPS,PPS,238
22,RR,PR,PR,1268
15,RR,PMDB,PMDB,464
11,RR,PP,PP,770
4491,RR,PRP,JOSIMAR DA SILVA BEZERRA,111
4345,RR,PV,VILTON FLOR,1330
2014,RR,PSC,ALEX LADISLAU,5281
1217,RR,PDT,RAIMUNDA TAVARES DE SOUZA,380
14,RR,PTB,PTB,440
5050,RR,PSOL,ERICA MARQUES,377
25,RR,DEM,DEM,145
1414,RR,PTB,SYLVIO FRAXE PRIMO,636
7011,RR,PT do B,J. PAULO,852
7070,RR,PT do B,MISSIONARIA MARTA,955
77,RR,SD,SD,49
19,RR,PTN,PTN,77
6513,RR,PC do B,EDMILSON ALBUQUERQUE,581
3377,RR,PMN,XAN,22
50,RR,PSOL,PSOL,121
3321,RR,PMN,MANUELA,26
1101,RR,PP,REGINA JORGE,51
36,RR,PTC,PTC,38
2010,RR,PSC,ANDRÉIA TORRES,23
1300,RR,PT,ELZILENE LIBORIO,25
4343,ES,PV,EVAIR DE MELO,48829
4555,ES,PSDB,GUERINO BALESTRASSI,42848
7777,ES,SD,MANATO,67631
1515,ES,PMDB,LELO COIMBRA,94759
2221,ES,PR,GAVA,6988
2522,ES,DEM,REGINALDO LOUREIRO,34092
4045,ES,PSB,EDIVAL PETRI,31113
4567,ES,PSDB,LUIZ PAULO VELLOZO LUCAS,49729
5599,ES,PSD,CLAUDIA MARTINELI,2711
65,ES,PC do B,PC DO B,892
1200,ES,PDT,AMARILDO LOVATI,8195
4412,ES,PRP,PAULO DE OLIVEIRA,801
6500,ES,PC do B,EGUINALDO,1006
43,ES,PV,PV,13285
2733,ES,PSDC,ADELAR,1119
1023,ES,PRB,BRUNO POLEZ,8126
2323,ES,PPS,WAGUINHO ITO,24279
5454,ES,PPL,ROSE MIRANDA,897
1300,ES,PT,PROFESSOR LEO,14446
1330,ES,PT,ADRIANA BARBOZA,1036
5151,ES,PEN,ALEXANDRE ROSSONI,3880
10,ES,PRB,PRB,1769
2500,ES,DEM,NORMA AYUB,64969
4510,ES,PSDB,GIOVANA,596
4545,ES,PSDB,ROMEU BERGER,6763
5122,ES,PEN,DR. JESUS VAZ,411
4433,ES,PRP,FABIO VETERINÁRIO,2259
1245,ES,PDT,MARCOS FABRE,1536
54,ES,PPL,PPL,496
23,ES,PPS,PPS,2954
1222,ES,PDT,JANDIR FRAGA,790
16,ES,PSTU,PSTU,522
3600,ES,PTC,JOSÉ GERALDO,672
22,ES,PR,PR,1643
70,ES,PT do B,PT DO B,492
1100,ES,PP,BENER,840
2712,ES,PSDC,METRALHA,636
5011,ES,PSOL,PROFESSORA GERALDA,1735
1122,ES,PP,JACKSON RANGEL,1109
1544,ES,PMDB,CAMILO COLA,42668
28,ES,PRTB,PRTB,272
4445,ES,PRP,TÂNIA PIRES,337
51,ES,PEN,PEN,338
1733,ES,PSL,MARCIO SOUZA,563
4020,ES,PSB,JOAO CEZAR,2488
4470,ES,PRP,CAPITÃO HANDERSON BRAGA,1961
7000,ES,PT do B,APOSTOLO FELISMINO,617
4599,ES,PSDB,GLORINHA,364
4000,ES,PSB,PROFESSOR CLEBER,3020
4447,ES,PRP,DELEGADO SABINO,1125
2577,ES,DEM,PASTOR ENOQUE,1645
4413,ES,PRP,MANOEL ORGINO,665
1115,ES,PP,MARLENE NOGUEIRA,351
7070,ES,PT do B,JOSIAS BEREDAS,1921
2700,ES,PSDC,LELE,72
2512,ES,DEM,MARIO DANTAS,2119
1400,ES,PTB,ADER,2167
5000,ES,PSOL,JOVANIO DA DENGUE,940
1256,ES,PDT,VALMERY DO TAXI,1526
3370,ES,PMN,PROFESSORA CLEUSA,428
2533,ES,DEM,EDINHO MAIOLI,206
7011,ES,PT do B,PASTOR PEREIRA,593
2545,ES,DEM,ALEXANDRE CAL,2157
2588,ES,DEM,DR. ALVARENGA,194
1717,ES,PSL,ANDREZA BRANDIZZI ROCHA,738
3131,ES,PHS,JOZELAINE RAMIRO,38
4005,ES,PSB,ORIETIS,236
4488,ES,PRP,ALOISIO MURUCE,2096
4403,ES,PRP,DEUSENI MORAIS PASSOS,123
2866,ES,PRTB,CARLOS LACERDA,80
4427,ES,PRP,MARIA FORNAZEL MAGNAGO,18
4038,ES,PSB,LUCIA RAMOS,262
10,MA,PRB,PRB,7556
21,MA,PCB,PCB,1779
31,MA,PHS,PHS,2479
65,MA,PC do B,PC DO B,20510
1111,MA,PP,WALDIR MARANHÃO,66274
1200,MA,PDT,MARIO JACKSON,1166
1515,MA,PMDB,CHIQUINHO ESCORCIO,56983
2123,MA,PCB,SILDEANE,431
2222,MA,PR,LUIZINHO DA CASA DOS PADEIROS,3889
2323,MA,PPS,ELIZIANE GAMA,133575
2707,MA,PSDC,MICAL DAMASCENO,10209
3678,MA,PTC,MIDIÃ SODRÉ,371
4030,MA,PSB,LUANA ALVES,51418
5199,MA,PEN,DR. FABIO MOREIRA,1451
